date,open,high,low,close,adj_close,volume,range,Year,return
5/10/2024,169.6900024,171.3399963,167.9100037,170.2899933,169.2837524,18740500,3.429992676,2024,-0.007518409
5/13/2024,165.8470001,170.9499969,165.7599945,170.8999939,169.890152,19648600,5.190002441,2024,0.003582128
5/14/2024,171.5899963,172.7799988,170.4199982,171.9299927,170.9140778,18729500,2.36000061,2024,0.006026909
5/15/2024,172.3000031,174.0460052,172.0299988,173.8800049,172.8525391,20958200,2.01600647,2024,0.011341897
5/16/2024,174.6000061,176.3399963,174.0500031,175.4299927,174.3933716,17247300,2.289993286,2024,0.008914123
5/17/2024,175.5500031,177.4949951,174.9799957,177.2899933,176.2423706,16546400,2.51499939,2024,0.010602523
5/20/2024,177.3099976,179.9499969,177.2250061,178.4600067,177.4054871,17495100,2.724990845,2024,0.006599433
5/21/2024,178.3999939,179.8200073,177.3099976,179.5399933,178.4790802,14706000,2.510009766,2024,0.006051701
5/22/2024,178.3999939,178.852005,176.7799988,178,176.9482117,16189400,2.072006226,2024,-0.008577439
5/23/2024,178.7799988,179.9100037,174.5399933,175.0599976,174.0255585,14928400,5.370010376,2024,-0.016516868
5/24/2024,176.5200043,177.3040009,175.1999969,176.3300018,175.2880554,11403600,2.104003906,2024,0.00725468
5/28/2024,175.7400055,178.5099945,175.6799927,178.0200043,176.9680634,15655300,2.830001831,2024,0.009584316
5/29/2024,176.8099976,178.2299957,176.2599945,177.3999939,176.3517151,15023800,1.970001221,2024,-0.003482813
5/30/2024,176.6900024,176.6900024,173.2299957,173.5599976,172.5344238,18826300,3.460006714,2024,-0.021645978
5/31/2024,173.3999939,174.4199982,170.9700012,173.9600067,172.9320831,28085200,3.449996948,2024,0.002304731
6/3/2024,173.8800049,175.8600006,172.4499969,174.4199982,173.3893738,20742800,3.410003662,2024,0.002644237
6/4/2024,174.4499969,175.1900024,173.2200012,175.1300049,174.0951691,14066600,1.970001221,2024,0.004070673
6/5/2024,176.5350037,177.9700012,175.2899933,177.0700073,176.0237122,15233900,2.680007935,2024,0.011077499
6/6/2024,177.4299927,178.7100067,177.2100067,178.3500061,177.2961273,14255800,1.5,2024,0.007228772
6/7/2024,178.4600067,179.4199982,175.7899933,175.9499969,174.9102936,14716300,3.630004883,2024,-0.013456737
6/10/2024,176.4499969,178.4700012,174.3800049,176.6300049,175.786087,17099800,4.089996338,2024,0.003864779
6/11/2024,177.7200012,178.3899994,175.4400024,178.1900024,177.3386383,14402400,2.949996948,2024,0.008832008
6/12/2024,179.75,182.0800018,177.7799988,179.5599976,178.7020874,18600400,4.300003052,2024,0.007688395
6/13/2024,177.8399963,178.5099945,176.6600037,176.7400055,175.8955688,15956900,1.849990845,2024,-0.015705013
6/14/2024,175.852005,178.7299957,175.852005,178.3699951,177.5177917,12361600,2.877990723,2024,0.009222528
6/17/2024,176.9799957,179.9199982,176.4900055,178.7799988,177.9258118,15272900,3.429992676,2024,0.002298613
6/18/2024,178.7899933,178.9100037,175.6199951,176.4499969,175.6069641,15640300,3.290008545,2024,-0.013032788
6/20/2024,176.7100067,178.7400055,176.4600067,177.7100067,176.8609467,16753200,2.279998779,2024,0.007140889
6/21/2024,178.4900055,182.5119934,178.0599976,180.2599945,179.3987427,58903200,4.45199585,2024,0.014349151
6/24/2024,181.2799988,182.0800018,180.2299957,180.7899933,179.9262238,18198300,1.850006104,2024,0.002940191
6/25/2024,181.1450043,185.75,181.1049957,185.5800018,184.6933441,18797000,4.645004272,2024,0.026494877
6/26/2024,184.1999969,185.9299927,183.9900055,185.3699951,184.4843292,13375700,1.939987183,2024,-0.001131624
6/27/2024,185.6450043,187.5,185.4499969,186.8600006,185.9672089,13025700,2.050003052,2024,0.008038008
6/28/2024,185.7200012,186.5800018,183.3249969,183.4199982,182.5436554,23032400,3.255004883,2024,-0.018409517
7/1/2024,184.4799957,185.3399963,182.7299957,184.4900055,183.608551,11815900,2.61000061,2024,0.005833646
7/2/2024,183.4700012,186.9499969,183.0599976,186.6100006,185.7184296,12555500,3.88999939,2024,0.011491111
7/3/2024,186.3000031,187.6199951,185.3849945,187.3899994,186.4946899,7409100,2.23500061,2024,0.004179834
